"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WFC.WS","Wells Fargo & Company","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc.ws",
"WFC-L","Wells Fargo & Company","1279.29","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-l",
"WFC-N","Wells Fargo & Company","24.41","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-n",
"WFC-O","Wells Fargo & Company","24.23","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-o",
"WFC-P","Wells Fargo & Company","24.55","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-p",
"WFC-Q","Wells Fargo & Company","25.59","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-q",
"WFC-R","Wells Fargo & Company","27.58","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-r",
"WFC-T","Wells Fargo & Company","25.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-t",
"WFC-V","Wells Fargo & Company","25.71","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-v",
"WFC-W","Wells Fargo & Company","25.04","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-w",
"WFC-X","Wells Fargo & Company","24.87","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-x",
"WFC-Y","Wells Fargo & Company","24.88","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfc-y",
"WFE-A","Wells Fargo & Company","25.9","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/wfe-a",
"EOD","Wells Fargo Global Dividend Opportunity Fund","5.39","$244.89M","2007","n/a","n/a","https://www.nasdaq.com/symbol/eod",
"WELL","Welltower Inc.","64.55","$24.01B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/well",
"WELL-I","Welltower Inc.","61.15","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/well-i",
"WAIR","Wesco Aircraft Holdings, Inc.","11.25","$1.12B","2011","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/wair",
"WCC","WESCO International, Inc.","61.35","$2.89B","1999","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/wcc",
"WST","West Pharmaceutical Services, Inc.","122.59","$9.02B","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/wst",
"WAL","Western Alliance Bancorporation","59.17","$6.26B","2005","Finance","Major Banks","https://www.nasdaq.com/symbol/wal",
"WALA","Western Alliance Bancorporation","25.3","n/a","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/wala",
"WEA","Western Asset Bond Fund","12.61","$150.12M","2002","n/a","n/a","https://www.nasdaq.com/symbol/wea",
"TLI","Western Asset Corporate Loan Fund Inc","9.92","$98.59M","1998","n/a","n/a","https://www.nasdaq.com/symbol/tli",
"EMD","Western Asset Emerging Markets Debt Fund Inc","13.45","$817.03M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/emd",
"GDO","Western Asset Global Corporate Defined Opportunity Fund Inc.","16.25","$242.78M","2009","n/a","n/a","https://www.nasdaq.com/symbol/gdo",
"EHI","Western Asset Global High Income Fund Inc","9.16","$411.49M","2003","n/a","n/a","https://www.nasdaq.com/symbol/ehi",
"HIX","Western Asset High Income Fund II Inc.","6.36","$548.26M","1998","n/a","n/a","https://www.nasdaq.com/symbol/hix",
"HIO","Western Asset High Income Opportunity Fund, Inc.","4.79","$619.02M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hio",
"HYI","Western Asset High Yield Defined Opportunity Fund Inc.","14.4374","$328.93M","2010","n/a","n/a","https://www.nasdaq.com/symbol/hyi",
"SBI","Western Asset Intermediate Muni Fund Inc","8.39","$118.15M","1992","n/a","n/a","https://www.nasdaq.com/symbol/sbi",
"IGI","Western Asset Investment Grade Defined Opportunity Trust Inc.","20.25","$219.16M","2009","n/a","n/a","https://www.nasdaq.com/symbol/igi",
"PAI","Western Asset Investment Grade Income Fund Inc.","13.6027","$128.99M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pai",
"MMU","Western Asset Managed Municipals Fund, Inc.","12.09","$523.36M","1992","n/a","n/a","https://www.nasdaq.com/symbol/mmu",
"WMC","Western Asset Mortgage Capital Corporation","10.5","$436.97M","2012","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/wmc",
